datetime,open,high,low,close,volume
2026-07-07T19:15:00+00:00,2979.69,2981.69,2975.73,2979.43,9679
2026-07-07T19:30:00+00:00,2979.43,2982.18,2977.64,2980.32,9299
2026-07-07T19:45:00+00:00,2980.32,2987.43,2979.93,2983.03,9347
2026-07-07T20:00:00+00:00,2983.03,2983.19,2980.79,2982.12,2329
2026-07-07T20:15:00+00:00,2982.12,2982.98,2979.79,2980.49,931
2026-07-07T20:30:00+00:00,2980.49,2981.43,2979.83,2980.83,513
2026-07-07T20:45:00+00:00,2980.83,2981.63,2979.57,2981.57,541
2026-07-07T22:00:00+00:00,2981.57,2981.57,2974.01,2977.72,1435
2026-07-07T22:15:00+00:00,2977.72,2979.57,2977.56,2979.17,467
2026-07-07T22:30:00+00:00,2979.17,2980.28,2977.81,2979.38,517
2026-07-07T22:45:00+00:00,2979.38,2981.01,2978.27,2979.42,532
2026-07-07T23:00:00+00:00,2979.42,2980.43,2978.41,2980.03,592
2026-07-07T23:15:00+00:00,2980.03,2983.03,2979.76,2982.27,487
2026-07-07T23:30:00+00:00,2982.27,2982.78,2978.97,2979.12,598
2026-07-07T23:45:00+00:00,2979.12,2980.03,2976.31,2976.97,1379
2026-07-08T00:00:00+00:00,2976.97,2979.73,2974.07,2977.62,4079
2026-07-08T00:15:00+00:00,2977.62,2981.97,2976.72,2980.12,3708
2026-07-08T00:30:00+00:00,2980.12,2984.03,2977.93,2983.82,2710
2026-07-08T00:45:00+00:00,2983.82,2988.53,2983.36,2988.02,2009
2026-07-08T01:00:00+00:00,2988.02,2988.52,2984.11,2987.71,2237
2026-07-08T01:15:00+00:00,2987.71,2987.78,2984.21,2984.66,1681
2026-07-08T01:30:00+00:00,2984.66,2985.98,2982.58,2983.67,2177
2026-07-08T01:45:00+00:00,2983.67,2985.77,2982.56,2983.72,2391
2026-07-08T02:00:00+00:00,2983.72,2984.13,2980.37,2980.48,2124
2026-07-08T02:15:00+00:00,2980.48,2983.13,2979.66,2981.38,1891
2026-07-08T02:30:00+00:00,2981.38,2983.23,2980.16,2983.21,1636
2026-07-08T02:45:00+00:00,2983.21,2984.22,2982.46,2983.12,1557
2026-07-08T03:00:00+00:00,2983.12,2985.18,2983.06,2984.66,1221
2026-07-08T03:15:00+00:00,2984.66,2987.18,2983.88,2986.52,976
2026-07-08T03:30:00+00:00,2986.52,2987.41,2984.11,2984.38,1442
2026-07-08T03:45:00+00:00,2984.38,2985.08,2983.53,2983.78,1392
2026-07-08T04:00:00+00:00,2983.78,2984.53,2982.68,2983.37,1432
2026-07-08T04:15:00+00:00,2983.37,2985.22,2982.61,2984.27,1444
2026-07-08T04:30:00+00:00,2984.27,2985.17,2982.21,2983.82,1639
2026-07-08T04:45:00+00:00,2983.82,2984.61,2981.71,2983.98,1765
2026-07-08T05:00:00+00:00,2983.98,2985.31,2982.67,2982.88,1994
2026-07-08T05:15:00+00:00,2982.88,2984.53,2980.78,2981.28,1720
2026-07-08T05:30:00+00:00,2981.28,2981.32,2978.57,2979.16,1682
2026-07-08T05:45:00+00:00,2979.16,2979.38,2974.76,2977.38,1620
2026-07-08T06:00:00+00:00,2977.38,2977.38,2973.03,2973.82,1706
2026-07-08T06:15:00+00:00,2973.82,2976.97,2973.43,2974.42,1677
2026-07-08T06:30:00+00:00,2974.42,2975.18,2969.82,2970.28,1770
2026-07-08T06:45:00+00:00,2970.28,2973.68,2968.73,2971.86,1407
2026-07-08T07:00:00+00:00,2971.86,2972.63,2965.07,2968.06,2820
2026-07-08T07:15:00+00:00,2968.06,2973.73,2967.01,2973.51,2532
2026-07-08T07:30:00+00:00,2973.51,2976.88,2970.76,2974.31,2176
2026-07-08T07:45:00+00:00,2974.31,2974.48,2970.66,2971.02,1877
2026-07-08T08:00:00+00:00,2971.02,2973.38,2968.56,2972.36,2600
2026-07-08T08:15:00+00:00,2972.36,2972.73,2944.77,2945.18,13755
2026-07-08T08:30:00+00:00,2945.18,2947.47,2936.92,2941.16,9207
2026-07-08T08:45:00+00:00,2941.16,2947.23,2939.46,2940.08,5432
2026-07-08T09:00:00+00:00,2940.08,2940.86,2934.31,2934.36,5618
2026-07-08T09:15:00+00:00,2934.36,2939.72,2934.31,2937.83,4559
2026-07-08T09:30:00+00:00,2937.83,2941.83,2935.91,2938.87,3520
2026-07-08T09:45:00+00:00,2938.87,2942.42,2936.86,2938.23,2712
2026-07-08T10:00:00+00:00,2938.23,2940.43,2936.92,2940.31,3203
2026-07-08T10:15:00+00:00,2940.31,2945.38,2938.72,2945.31,2379
2026-07-08T10:30:00+00:00,2945.31,2948.62,2943.56,2948.61,2788
2026-07-08T10:45:00+00:00,2948.61,2949.07,2946.16,2946.53,1983
2026-07-08T11:00:00+00:00,2946.53,2947.86,2944.03,2947.07,2568
2026-07-08T11:15:00+00:00,2947.07,2949.53,2945.06,2948.08,1721
2026-07-08T11:30:00+00:00,2948.08,2963.88,2946.76,2958.62,4482
2026-07-08T11:45:00+00:00,2958.62,2960.31,2954.96,2957.61,4386
2026-07-08T12:00:00+00:00,2957.61,2965.81,2954.68,2963.41,2993
2026-07-08T12:15:00+00:00,2963.41,2965.41,2961.26,2965.13,1965
2026-07-08T12:30:00+00:00,2965.13,2966.93,2962.96,2965.18,1979
2026-07-08T12:45:00+00:00,2965.18,2967.83,2960.32,2960.68,3332
2026-07-08T13:00:00+00:00,2960.68,2967.03,2960.31,2965.08,3553
2026-07-08T13:15:00+00:00,2965.08,2965.38,2959.06,2961.02,3700
2026-07-08T13:30:00+00:00,2961.02,2972.07,2957.12,2965.12,21119
2026-07-08T13:45:00+00:00,2965.12,2971.83,2958.91,2968.26,17184
2026-07-08T14:00:00+00:00,2968.26,2970.58,2957.47,2959.17,17255
2026-07-08T14:15:00+00:00,2959.17,2963.18,2951.87,2954.98,17082
2026-07-08T14:30:00+00:00,2954.98,2957.22,2948.21,2950.76,15312
2026-07-08T14:45:00+00:00,2950.76,2951.01,2941.36,2943.67,13565
2026-07-08T15:00:00+00:00,2943.67,2945.77,2939.42,2940.51,10571
2026-07-08T15:15:00+00:00,2940.51,2942.23,2931.11,2933.32,12538
2026-07-08T15:30:00+00:00,2933.32,2936.02,2929.11,2931.41,11757
2026-07-08T15:45:00+00:00,2931.41,2932.48,2927.58,2930.43,8802
2026-07-08T16:00:00+00:00,2930.43,2942.06,2930.42,2940.68,9657
2026-07-08T16:15:00+00:00,2940.68,2945.97,2938.06,2944.81,8196
2026-07-08T16:30:00+00:00,2944.81,2950.03,2939.11,2947.91,11016
2026-07-08T16:45:00+00:00,2947.91,2951.43,2946.12,2950.67,7021
2026-07-08T17:00:00+00:00,2950.67,2950.78,2944.92,2946.67,6260
2026-07-08T17:15:00+00:00,2946.67,2955.53,2946.43,2954.96,5318
2026-07-08T17:30:00+00:00,2954.96,2957.62,2951.47,2952.22,5230
2026-07-08T17:45:00+00:00,2952.22,2954.07,2948.42,2950.81,4848
2026-07-08T18:00:00+00:00,2950.81,2956.62,2948.61,2955.23,5042
2026-07-08T18:15:00+00:00,2955.23,2955.96,2950.71,2953.47,3535
2026-07-08T18:30:00+00:00,2953.47,2954.38,2949.91,2953.06,3732
2026-07-08T18:45:00+00:00,2953.06,2955.78,2951.56,2954.32,3200
2026-07-08T19:00:00+00:00,2954.32,2956.27,2950.82,2951.06,3330
2026-07-08T19:15:00+00:00,2951.06,2953.92,2950.42,2952.68,3089
2026-07-08T19:30:00+00:00,2952.68,2953.52,2948.61,2950.73,3944
2026-07-08T19:45:00+00:00,2950.73,2959.63,2944.98,2954.73,8563
2026-07-08T20:00:00+00:00,2954.73,2955.73,2951.53,2952.66,2469
2026-07-08T20:15:00+00:00,2952.66,2953.33,2949.21,2950.13,1401
2026-07-08T20:30:00+00:00,2950.13,2950.96,2946.22,2949.71,1856
2026-07-08T20:45:00+00:00,2949.71,2951.13,2946.31,2947.66,1172
2026-07-08T22:00:00+00:00,2947.66,2952.2,2947.66,2950.66,1019
2026-07-08T22:15:00+00:00,2950.66,2951.4,2949.15,2950.7,430
2026-07-08T22:30:00+00:00,2950.7,2952.74,2948.91,2950.26,630
2026-07-08T22:45:00+00:00,2950.26,2950.85,2949.19,2950.41,266
2026-07-08T23:00:00+00:00,2950.41,2951.77,2950.09,2951.3,404.53716370269035
2026-07-08T23:15:00+00:00,2951.3,2951.31,2948.9,2950.96,421
2026-07-08T23:30:00+00:00,2950.96,2953.56,2950.15,2953.21,643
2026-07-08T23:45:00+00:00,2953.21,2954.6,2952.16,2953.51,1036
2026-07-09T00:00:00+00:00,2953.51,2957.9700000000003,2952.5,2957.8,2718
2026-07-09T00:15:00+00:00,2957.8,2959.7,2955.45,2959.2200000000003,2084
2026-07-09T00:30:00+00:00,2959.2200000000003,2961.36,2957.75,2959.61,2064
2026-07-09T00:45:00+00:00,2959.61,2962.17,2958.05,2960.9,1868
2026-07-09T01:00:00+00:00,2960.9,2963.45,2959.15,2961.3,2050
2026-07-09T01:15:00+00:00,2961.3,2963.2,2958.81,2960.27,1427
2026-07-09T01:30:00+00:00,2960.27,2962.76,2959.11,2962.55,1721
2026-07-09T01:45:00+00:00,2962.55,2964.05,2960.51,2961.7200000000003,1957
2026-07-09T02:00:00+00:00,2961.7200000000003,2964.82,2960.4,2964.15,2287
2026-07-09T02:15:00+00:00,2964.15,2967.5,2963.3,2964.12,1465
2026-07-09T02:30:00+00:00,2964.12,2965.92,2960.25,2960.25,1585
2026-07-09T02:45:00+00:00,2960.25,2960.7200000000003,2957.57,2958.75,1961
2026-07-09T03:00:00+00:00,2958.75,2959.7200000000003,2957.26,2958.27,1975
2026-07-09T03:15:00+00:00,2958.27,2961.7200000000003,2957.17,2961.71,1695
2026-07-09T03:30:00+00:00,2961.71,2963.42,2960.95,2963.1,2000
2026-07-09T03:45:00+00:00,2963.1,2963.42,2962.06,2962.61,1383
2026-07-09T04:00:00+00:00,2962.61,2963.76,2961.6,2961.8,1294
2026-07-09T04:15:00+00:00,2961.8,2963.2,2960.2,2960.92,1107
2026-07-09T04:30:00+00:00,2960.92,2964.32,2960.85,2963.76,1211
2026-07-09T04:45:00+00:00,2963.76,2964.71,2962.4,2963.87,1029
2026-07-09T05:00:00+00:00,2963.87,2968.26,2961.41,2965.81,2465
2026-07-09T05:15:00+00:00,2965.81,2966.27,2961.31,2962.37,1896
2026-07-09T05:30:00+00:00,2962.37,2965.7200000000003,2960.9700000000003,2965.7200000000003,1879
2026-07-09T05:45:00+00:00,2965.7200000000003,2968.95,2965.26,2968.62,1312
2026-07-09T06:00:00+00:00,2968.62,2969.07,2965.55,2966.92,1624
2026-07-09T06:15:00+00:00,2966.92,2968.2200000000003,2966.41,2966.9,1090
